aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
 2332    87 atomic    5 d   2 	     0.06889323    0.00000000      0.16711603    0.00000000     -0.02121750    0.00000000     -0.01394881    0.00000000     -0.06773383    0.00000000      0.02604312    0.00000000     -0.00094179    0.00000000      0.02613500    0.00000000      0.04814543    0.00000000     -0.00044559    0.00000000      0.07559624    0.00000000     -0.07462703    0.00000000      0.03556677    0.00000000      0.02024200    0.00000000     -0.01417088    0.00000000     -0.01497166    0.00000000  
 2333    87 hydro     3 d  -2 	    -0.00092675    0.00000000     -0.00058623    0.00000000     -0.00540607    0.00000000      0.01327975    0.00000000      0.00361260    0.00000000      0.00180282    0.00000000      0.00779127    0.00000000     -0.00136012    0.00000000      0.00591293    0.00000000     -0.00026651    0.00000000      0.01545589    0.00000000      0.01677757    0.00000000     -0.00190669    0.00000000      0.00699275    0.00000000     -0.00005344    0.00000000      0.00127086    0.00000000  
 2334    87 hydro     3 d  -1 	     0.00068291    0.00000000     -0.00036794    0.00000000     -0.00018729    0.00000000      0.00032086    0.00000000     -0.00019156    0.00000000     -0.00025922    0.00000000     -0.00045750    0.00000000     -0.00044351    0.00000000     -0.00012340    0.00000000     -0.00008379    0.00000000      0.00032034    0.00000000     -0.00023868    0.00000000     -0.00004612    0.00000000     -0.00016619    0.00000000      0.00001733    0.00000000     -0.00001035    0.00000000  
 2335    87 hydro     3 d   0 	    -0.00106432    0.00000000     -0.00384188    0.00000000     -0.00433376    0.00000000      0.00017305    0.00000000     -0.00077061    0.00000000     -0.00654005    0.00000000     -0.00079881    0.00000000      0.00355596    0.00000000     -0.00193565    0.00000000      0.00007302    0.00000000      0.00735473    0.00000000     -0.00757830    0.00000000      0.00384632    0.00000000      0.00232756    0.00000000     -0.00051135    0.00000000      0.00083530    0.00000000  
 2336    87 hydro     3 d   1 	    -0.00009991    0.00000000     -0.00011373    0.00000000      0.00011175    0.00000000     -0.00026148    0.00000000      0.00005380    0.00000000     -0.00017612    0.00000000      0.00004392    0.00000000      0.00028302    0.00000000      0.00025569    0.00000000      0.00009692    0.00000000     -0.00003288    0.00000000     -0.00008407    0.00000000      0.00033425    0.00000000     -0.00006428    0.00000000     -0.00021862    0.00000000     -0.00017800    0.00000000  
 2337    87 hydro     3 d   2 	    -0.00587908    0.00000000     -0.01408268    0.00000000      0.00197540    0.00000000      0.00116438    0.00000000      0.00737372    0.00000000     -0.00245381    0.00000000     -0.00010091    0.00000000     -0.00326219    0.00000000     -0.00544111    0.00000000      0.00026148    0.00000000     -0.00950047    0.00000000      0.00914870    0.00000000     -0.00461142    0.00000000     -0.00260969    0.00000000      0.00140770    0.00000000      0.00209603    0.00000000  
 2338    87 atomic    4 f  -3 	     0.00035996    0.00000000     -0.00014664    0.00000000      0.00004710    0.00000000      0.00003548    0.00000000      0.00002471    0.00000000      0.00000984    0.00000000      0.00001796    0.00000000      0.00001986    0.00000000      0.00002264    0.00000000     -0.00007560    0.00000000     -0.00011412    0.00000000      0.00004019    0.00000000      0.00017772    0.00000000      0.00021881    0.00000000      0.00004729    0.00000000      0.00003863    0.00000000  
 2339    87 atomic    4 f  -2 	    -0.00000291    0.00000000     -0.00000350    0.00000000      0.00000040    0.00000000      0.00000731    0.00000000      0.00000368    0.00000000      0.00000165    0.00000000     -0.00000027    0.00000000      0.00000625    0.00000000     -0.00000402    0.00000000      0.00000775    0.00000000      0.00000066    0.00000000     -0.00000047    0.00000000      0.00000344    0.00000000     -0.00000339    0.00000000     -0.00000138    0.00000000     -0.00000560    0.00000000  
 2340    87 atomic    4 f  -1 	     0.00019075    0.00000000     -0.00009728    0.00000000     -0.00000942    0.00000000      0.00013707    0.00000000     -0.00014174    0.00000000     -0.00003296    0.00000000     -0.00022525    0.00000000     -0.00020102    0.00000000      0.00001489    0.00000000     -0.00000870    0.00000000      0.00004490    0.00000000     -0.00001353    0.00000000     -0.00007171    0.00000000     -0.00008661    0.00000000      0.00002638    0.00000000      0.00000732    0.00000000  
 2341    87 atomic    4 f   0 	    -0.00000040    0.00000000     -0.00000160    0.00000000      0.00000260    0.00000000      0.00000050    0.00000000     -0.00000089    0.00000000     -0.00000289    0.00000000      0.00000492    0.00000000      0.00000643    0.00000000     -0.00000494    0.00000000      0.00001231    0.00000000     -0.00000141    0.00000000     -0.00000154    0.00000000      0.00000068    0.00000000      0.00000376    0.00000000      0.00000357    0.00000000     -0.00000472    0.00000000  
 2342    87 atomic    4 f   1 	     0.00000094    0.00000000      0.00004524    0.00000000      0.00021481    0.00000000      0.00012760    0.00000000      0.00010057    0.00000000     -0.00008235    0.00000000     -0.00012608    0.00000000      0.00019162    0.00000000      0.00007415    0.00000000      0.00005634    0.00000000      0.00001757    0.00000000      0.00007668    0.00000000      0.00021381    0.00000000     -0.00017004    0.00000000     -0.00002430    0.00000000     -0.00001476    0.00000000  
 2343    87 atomic    4 f   2 	    -0.00000255    0.00000000      0.00000012    0.00000000     -0.00000024    0.00000000      0.00000401    0.00000000      0.00000683    0.00000000      0.00000419    0.00000000     -0.00000229    0.00000000     -0.00000975    0.00000000     -0.00000475    0.00000000      0.00002221    0.00000000      0.00000025    0.00000000     -0.00000165    0.00000000     -0.00000623    0.00000000     -0.00000405    0.00000000     -0.00003477    0.00000000     -0.00002942    0.00000000  
 2344    87 atomic    4 f   3 	     0.00002968    0.00000000     -0.00004175    0.00000000     -0.00019430    0.00000000     -0.00018264    0.00000000      0.00024221    0.00000000     -0.00002354    0.00000000     -0.00016972    0.00000000     -0.00003299    0.00000000      0.00033555    0.00000000     -0.00000186    0.00000000      0.00001108    0.00000000      0.00002429    0.00000000      0.00008317    0.00000000     -0.00007003    0.00000000     -0.00003126    0.00000000      0.00001845    0.00000000  
 2345    87 hydro     4 f  -3 	    -0.00378634    0.00000000      0.00152716    0.00000000     -0.00048328    0.00000000     -0.00039702    0.00000000     -0.00022156    0.00000000     -0.00010690    0.00000000     -0.00018920    0.00000000     -0.00026117    0.00000000     -0.00029064    0.00000000      0.00081244    0.00000000      0.00093200    0.00000000     -0.00035859    0.00000000     -0.00154608    0.00000000     -0.00187320    0.00000000     -0.00065893    0.00000000     -0.00067303    0.00000000  
 2346    87 hydro     4 f  -2 	     0.00003366    0.00000000      0.00001645    0.00000000     -0.00000192    0.00000000     -0.00007195    0.00000000     -0.00000838    0.00000000      0.00000368    0.00000000      0.00000408    0.00000000     -0.00001465    0.00000000      0.00000583    0.00000000      0.00018910    0.00000000     -0.00002340    0.00000000     -0.00003769    0.00000000     -0.00002275    0.00000000      0.00003182    0.00000000      0.00013262    0.00000000     -0.00027721    0.00000000  
 2347    87 hydro     4 f  -1 	    -0.00234451    0.00000000      0.00120012    0.00000000      0.00007530    0.00000000     -0.00158305    0.00000000      0.00165730    0.00000000      0.00040230    0.00000000      0.00258284    0.00000000      0.00226460    0.00000000     -0.00014911    0.00000000      0.00037983    0.00000000     -0.00053114    0.00000000      0.00016877    0.00000000      0.00085356    0.00000000      0.00101463    0.00000000     -0.00021647    0.00000000     -0.00058226    0.00000000  
 2348    87 hydro     4 f   0 	     0.00005587    0.00000000     -0.00004894    0.00000000     -0.00013921    0.00000000      0.00003655    0.00000000     -0.00001822    0.00000000     -0.00005447    0.00000000     -0.00014020    0.00000000     -0.00007739    0.00000000      0.00005672    0.00000000     -0.00024402    0.00000000      0.00012936    0.00000000     -0.00006496    0.00000000     -0.00001939    0.00000000     -0.00005267    0.00000000      0.00022290    0.00000000      0.00018726    0.00000000  
 2349    87 hydro     4 f   1 	    -0.00004194    0.00000000     -0.00055304    0.00000000     -0.00251173    0.00000000     -0.00145924    0.00000000     -0.00110273    0.00000000      0.00098929    0.00000000      0.00148932    0.00000000     -0.00217611    0.00000000     -0.00089434    0.00000000     -0.00054010    0.00000000     -0.00017004    0.00000000     -0.00088406    0.00000000     -0.00236587    0.00000000      0.00186526    0.00000000      0.00030728    0.00000000      0.00030870    0.00000000  
 2350    87 hydro     4 f   2 	     0.00005776    0.00000000      0.00004911    0.00000000     -0.00000759    0.00000000     -0.00000108    0.00000000     -0.00003884    0.00000000      0.00000619    0.00000000      0.00002028    0.00000000      0.00005146    0.00000000      0.00000923    0.00000000     -0.00006841    0.00000000      0.00000622    0.00000000     -0.00002396    0.00000000      0.00003573    0.00000000      0.00002734    0.00000000      0.00035007    0.00000000     -0.00005373    0.00000000  
 2351    87 hydro     4 f   3 	    -0.00040090    0.00000000      0.00055482    0.00000000      0.00245552    0.00000000      0.00228289    0.00000000     -0.00305401    0.00000000      0.00030838    0.00000000      0.00216539    0.00000000      0.00042005    0.00000000     -0.00426074    0.00000000     -0.00002724    0.00000000     -0.00016055    0.00000000     -0.00034641    0.00000000     -0.00114677    0.00000000      0.00097864    0.00000000      0.00025978    0.00000000     -0.00017741    0.00000000  
 2352    88 atomic    1 s   0 	    -0.00001823    0.00000000     -0.00003980    0.00000000      0.00001139    0.00000000      0.00003252    0.00000000     -0.00004468    0.00000000     -0.00003511    0.00000000      0.00002151    0.00000000      0.00002659    0.00000000     -0.00006802    0.00000000      0.00000503    0.00000000      0.00004664    0.00000000      0.00003382    0.00000000     -0.00002039    0.00000000     -0.00000550    0.00000000     -0.00000095    0.00000000     -0.00000234    0.00000000  
 2353    88 atomic    2 s   0 	     0.00012382    0.00000000      0.00027011    0.00000000     -0.00007727    0.00000000     -0.00022092    0.00000000      0.00030350    0.00000000      0.00023842    0.00000000     -0.00014617    0.00000000     -0.00018065    0.00000000      0.00046202    0.00000000     -0.00003421    0.00000000     -0.00031688    0.00000000     -0.00022977    0.00000000      0.00013854    0.00000000      0.00003736    0.00000000      0.00000638    0.00000000      0.00001582    0.00000000  
 2354    88 atomic    3 s   0 	    -0.00043658    0.00000000     -0.00095243    0.00000000      0.00027323    0.00000000      0.00077858    0.00000000     -0.00106944    0.00000000     -0.00084003    0.00000000      0.00051483    0.00000000      0.00063713    0.00000000     -0.00162774    0.00000000      0.00012013    0.00000000      0.00111096    0.00000000      0.00080528    0.00000000     -0.00048598    0.00000000     -0.00013091    0.00000000     -0.00002261    0.00000000     -0.00005521    0.00000000  
 2355    88 atomic    4 s   0 	     0.00137843    0.00000000      0.00298903    0.00000000     -0.00085908    0.00000000     -0.00245762    0.00000000      0.00337414    0.00000000      0.00264179    0.00000000     -0.00162702    0.00000000     -0.00201548    0.00000000      0.00513421    0.00000000     -0.00037805    0.00000000     -0.00346698    0.00000000     -0.00251035    0.00000000      0.00151673    0.00000000      0.00040778    0.00000000      0.00006552    0.00000000      0.00016336    0.00000000  
 2356    88 atomic    5 s   0 	    -0.00500588    0.00000000     -0.01063790    0.00000000      0.00309750    0.00000000      0.00889149    0.00000000     -0.01219812    0.00000000     -0.00945023    0.00000000      0.00589881    0.00000000      0.00736741    0.00000000     -0.01854601    0.00000000      0.00131618    0.00000000      0.01167670    0.00000000      0.00842136    0.00000000     -0.00512491    0.00000000     -0.00136385    0.00000000     -0.00016512    0.00000000     -0.00048553    0.00000000  
 2357    88 ionic     6 s   0 	    -0.04384175    0.00000000     -0.08563946    0.00000000      0.01883062    0.00000000      0.08005619    0.00000000     -0.11069782    0.00000000     -0.08296692    0.00000000      0.05643563    0.00000000      0.06420259    0.00000000     -0.17019287    0.00000000      0.01593418    0.00000000      0.14166521    0.00000000      0.10376288    0.00000000     -0.06011351    0.00000000     -0.01682258    0.00000000      0.00149295    0.00000000     -0.00240468    0.00000000  
 2358    88 atomic    6 s   0 	    -0.00518560    0.00000000     -0.01026935    0.00000000      0.00130716    0.00000000      0.00888106    0.00000000     -0.01274116    0.00000000     -0.00969411    0.00000000      0.00652236    0.00000000      0.00687069    0.00000000     -0.02019998    0.00000000      0.00220222    0.00000000      0.01851926    0.00000000      0.01404610    0.00000000     -0.00785650    0.00000000     -0.00218827    0.00000000      0.00051862    0.00000000      0.00042528    0.00000000  
 2359    88 atomic    2 p  -1 	     0.00001917    0.00000000     -0.00000735    0.00000000      0.00001553    0.00000000     -0.00001017    0.00000000     -0.00001147    0.00000000     -0.00001848    0.00000000     -0.00000775    0.00000000     -0.00001785    0.00000000      0.00000189    0.00000000      0.00000108    0.00000000     -0.00000343    0.00000000      0.00000824    0.00000000      0.00000692    0.00000000     -0.00000821    0.00000000     -0.00000248    0.00000000     -0.00000238    0.00000000  
